uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height
ad000969-9a88-4da3-af2b-d3adaed19e54,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.09978,single bole tree,13.1,130,12.2
d7a3a2e5-072a-4fa0-b22a-3e620d4d399c,HARV_016.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_016,NEON.PLA.D01.HARV.02223,NA,12.9,130,1.7
21ebf482-8fb2-4ddd-bf62-25f8d5a7af20,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.09983,single bole tree,33.5,130,22.6
347379e5-d797-4edf-ae8b-13f0f0606c53,HARV_021.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_021,NEON.PLA.D01.HARV.05565,NA,40.1,130,26.8
39f1ce16-721a-4c17-931e-78a43ab8d03f,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.02166,NA,50.3,130,24.8
a1f70347-b491-4a96-9b13-63591f5094ce,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.00045,NA,22.0,130,21.6
9b116109-cbb2-4f73-bae5-b8be70728188,HARV_016.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_016,NEON.PLA.D01.HARV.02524,NA,12.9,130,9.8
29a46adc-4def-469d-a799-a0757be82cf0,HARV_021.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_021,NEON.PLA.D01.HARV.02829,NA,24.4,130,17.9
2fdd63ad-c9a6-4dc9-9680-f00894ead64c,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.02163,NA,20.3,130,19.0
13c84ac3-746f-4afe-99d3-aafa12ae98d1,HARV_021.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_021,NEON.PLA.D01.HARV.02322,NA,20.6,130,16.4
79069c21-3f42-4cbd-b59f-4dd61bb07905,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.09975,multi-bole tree,22.8,130,20.3
4525bf0d-b3e3-4cce-8e65-dcfc011258f0,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.02155,NA,27.7,130,21.5
fd83b5d2-cf5f-4094-a6ea-5c5684a45657,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.02161,NA,36.7,130,23.7
b44f1b44-880a-42ab-ae22-9139a9c58573,HARV_016.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_016,NEON.PLA.D01.HARV.02949,NA,1.6,130,3.1
ce1849ef-feb7-47a2-a326-be46ac666f45,HARV_016.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_016,NEON.PLA.D01.HARV.02950,NA,12.5,130,5.5
417cd352-71a1-4f79-8830-9da497a7eb0a,HARV_021.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_021,NEON.PLA.D01.HARV.05566,NA,28.9,130,23.6
5c67d607-7aa6-48e7-9364-cca4da7e750a,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.02165,NA,10.5,130,9.1
df060b81-17d0-44f6-b669-290c63465167,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.02156,NA,30.8,130,23.1
6c2f4d0c-4d5f-4c34-8724-c79a25135e7e,HARV_016.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_016,NEON.PLA.D01.HARV.02525,NA,12.1,130,10.5
88f384b3-b881-4abb-89a9-1439a7e6e45b,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.02224,NA,47.8,130,23.2
e16f40e2-2d35-4b3d-97db-63ac545b5eec,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,NEON.PLA.D01.HARV.02162,NA,38.1,130,24.1
ef83bbfb-065b-487c-b3cc-6e10496253bc,HARV_021.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_021,NEON.PLA.D01.HARV.05538,NA,15.2,130,6.4
6eb47940-4a8e-4467-b5ca-9c0ca230ae99,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04957,NA,20.1,130,12.6
15b3558f-4ee8-4d28-8a02-a758d3b2f61a,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04933,NA,17.3,130,10.3
99ac0e9e-a475-48ce-ba2d-636e824aca4d,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04932,NA,18.8,130,10.5
3d4eb3dc-3e7f-4ffe-92a5-07c4cee67409,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04934,NA,24.0,130,14.4
6b34327d-1301-4ce0-8b5f-714b86d1ad68,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04950,NA,14.2,130,8.3
6c458323-1bf7-48cb-8be7-253708a64a1b,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04709,NA,10.4,130,11.3
fa347feb-2a05-4aa1-a151-327b333172fb,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04737,NA,10.9,130,13.6
9aac6298-5864-4dfe-bbd7-d8c8cb4fb842,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04936,NA,40.7,130,17.6
2730277d-e3bb-4e57-a875-0cd6ab7c6bfd,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04924,NA,27.4,130,20.2
945aea4e-8144-42f3-b97f-87fbdc327c2f,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04958,NA,50.2,130,19.2
c67ffad5-9ea1-4622-add7-bd6834a15f93,HARV_043.basePlot.vst,2015-10-02,vst_HARV_2015,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04748,NA,22.6,130,15.9
