uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height
5cb01515-2ca0-4942-aa9a-9aac2fdaeb95,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.04949,single bole tree,17.4,130,11.5
422f2054-2d88-4869-9492-61ee56022032,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.09881,single bole tree,10.6,130,7.6
894d040f-f74d-4932-9f75-c8c5426af620,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.12839,single bole tree,10.5,130,10.2
e62dc987-88a1-48b8-97b2-f2f46bf36246,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.04943,single bole tree,50.2,130,18.8
054fe88b-5de2-41ac-81d0-72dea5af57ac,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.04901,single bole tree,25.9,130,11.9
ade0609c-9eef-49bf-a51e-ebc9234a33b3,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.12563,single bole tree,12.0,130,6.1
bc9bb39e-0bdb-41f3-b2fb-e152acd14a49,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.04982,single bole tree,43.9,130,21.2
c7313050-9cd6-4a34-b67b-224535429b3d,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.04947,single bole tree,63.5,130,19.5
fcda2fa7-a5cb-4058-8595-d17d12189372,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.03557,single bole tree,27.2,130,16.9
0770bb61-4243-4c5a-9e8e-78325e4ddc92,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.04953,single bole tree,31.7,130,16.6
0d50b5b8-78d2-4b31-9e1b-a0c2e6c2843c,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.04984,single bole tree,13.6,130,6.2
74a259ea-d54f-4853-ba4d-1764e1265639,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.12600,single bole tree,24.4,130,2.1
a2ba30ed-ae7a-4e35-a12a-1f7e4a0fda34,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.03535,NA,NA,NA,NA
0c512a44-69a1-42ca-8f74-39ceb9a3e76f,DELA_037.basePlot.vst,2017-10-19,vst_DELA_2017,D08,DELA,DELA_037,NEON.PLA.D08.DELA.12565,single bole tree,14.5,130,12.5
