uid,eventID,pointID,stemDistance,stemAzimuth,individualID,taxonID,scientificName,taxonRank
3a4301d5-8ff1-491f-bba7-e0a595ece6af,vst_BART_2015,43,13.1,341.7,NEON.PLA.D01.BART.00101,ACRU,Acer rubrum L.,species
229a8489-dfef-4a50-9c2b-9bb4d614173e,vst_BART_2015,61,1.2,206.2,NEON.PLA.D01.BART.00102,ACRU,Acer rubrum L.,species
27712596-d6d2-44e4-a462-cbdedef8a408,vst_BART_2015,61,4.6,288.9,NEON.PLA.D01.BART.00103,FAGR,Fagus grandifolia Ehrh.,species
de648865-7d18-4a48-96ec-99265dc653ad,vst_BART_2015,57,30.3,94.7,NEON.PLA.D01.BART.00106,FAGR,Fagus grandifolia Ehrh.,species
04c88265-7e34-4fd7-89ec-dc30a513c265,vst_BART_2015,57,30.6,92.8,NEON.PLA.D01.BART.00107,FAGR,Fagus grandifolia Ehrh.,species
ff9975c3-c068-4d48-a27b-5175783d91f6,vst_BART_2015,43,2.2,92.3,NEON.PLA.D01.BART.00108,FAGR,Fagus grandifolia Ehrh.,species
701ca281-08bf-41ab-9182-9e566cabb787,vst_BART_2015,43,9.1,276.4,NEON.PLA.D01.BART.00109,FAGR,Fagus grandifolia Ehrh.,species
f5ecb75b-8893-43e8-bebf-ee47adb5bb08,vst_BART_2015,43,7.3,280.2,NEON.PLA.D01.BART.00110,2PLANT,Unknown plant,kingdom
bd4c2d41-558c-4fe1-b02f-320ce4c2d488,vst_BART_2015,43,5.2,270.1,NEON.PLA.D01.BART.00111,FAGR,Fagus grandifolia Ehrh.,species
7dbc241f-6b71-4f93-a19e-3d33b8e17f55,vst_BART_2015,43,6.5,326.8,NEON.PLA.D01.BART.00112,BEAL2,Betula alleghaniensis Britton,species
727a6ab4-06aa-4cc6-bd20-26d20d45bb45,vst_BART_2015,43,9.6,299.7,NEON.PLA.D01.BART.00113,FAGR,Fagus grandifolia Ehrh.,species
c34cf5bb-4aaf-4c6a-8ffb-9232eea1c68d,vst_BART_2015,43,9.9,308.4,NEON.PLA.D01.BART.00114,ACRU,Acer rubrum L.,species
9ba62c8a-0b49-41c6-857e-40b4a163afbb,vst_BART_2015,43,10.1,327,NEON.PLA.D01.BART.00115,ACRU,Acer rubrum L.,species
93595c4e-42ca-47e7-9545-4d0603d80a8d,vst_BART_2015,61,10.8,234.9,NEON.PLA.D01.BART.00116,ACRU,Acer rubrum L.,species
d4e6eff7-92c6-400f-aefe-cffb1ad36c4b,vst_BART_2015,61,10.6,234.1,NEON.PLA.D01.BART.00117,FAGR,Fagus grandifolia Ehrh.,species
ab80270f-622c-4194-aad0-45165da2f93a,vst_BART_2015,59,7.7,122.8,NEON.PLA.D01.BART.00118,FAGR,Fagus grandifolia Ehrh.,species
f94d1f6a-7474-451a-83ad-1e38961709ae,vst_BART_2015,57,22,104.6,NEON.PLA.D01.BART.00119,ACRU,Acer rubrum L.,species
3a2cdf12-7da8-437f-aa72-24f48d79e9c0,vst_BART_2015,57,23.9,107.9,NEON.PLA.D01.BART.00120,BEAL2,Betula alleghaniensis Britton,species
028efca1-c152-4aa3-9826-48652977d40a,vst_BART_2015,57,25.4,108.3,NEON.PLA.D01.BART.00121,ACRU,Acer rubrum L.,species
f9e5751f-a9ab-48ac-88cb-ea2f53074589,vst_BART_2015,41,11.7,33.6,NEON.PLA.D01.BART.00122,ACRU,Acer rubrum L.,species
64ccb13d-4dfd-42b4-9d84-5aa766a32a94,vst_BART_2015,41,11.9,36.6,NEON.PLA.D01.BART.00123,FAGR,Fagus grandifolia Ehrh.,species
850ad336-89ab-4933-8c50-972e315924d4,vst_BART_2015,41,9.5,31.1,NEON.PLA.D01.BART.00124,BEAL2,Betula alleghaniensis Britton,species
7e0aff00-372a-4cba-8392-464c6963ce3d,vst_BART_2015,41,8.7,32.1,NEON.PLA.D01.BART.00125,ACRU,Acer rubrum L.,species
9b90e4f2-ae6e-4135-9c61-782416352c14,vst_BART_2015,57,9.6,121.5,NEON.PLA.D01.BART.00136,FAGR,Fagus grandifolia Ehrh.,species
1158743e-4e7c-4379-ae05-d2f6c45c71b0,vst_BART_2015,57,9.9,142.1,NEON.PLA.D01.BART.00137,FAGR,Fagus grandifolia Ehrh.,species
67bbff8d-1b4e-42b1-bee3-03b26df70b14,vst_BART_2016,31,10.4,83.5,NEON.PLA.D01.BART.00215,BEAL2,Betula alleghaniensis Britton,species
db4d8c19-f915-48a4-beec-0b6b202831bd,vst_BART_2015,41,6.4,86.1,NEON.PLA.D01.BART.00297,FRAM2,Fraxinus americana L.,species
abedbe59-2ea5-4069-94e6-a2bdcb39e276,vst_BART_2015,41,10.4,123.8,NEON.PLA.D01.BART.00301,FAGR,Fagus grandifolia Ehrh.,species
29146c97-ad69-4cab-aeef-9b3a5513ee7d,vst_BART_2015,25,12.6,287.5,NEON.PLA.D01.BART.00302,BEAL2,Betula alleghaniensis Britton,species
d2eab92a-6743-4ea3-bb83-6b7b17a79371,vst_BART_2015,23,2.1,7.6,NEON.PLA.D01.BART.00303,FAGR,Fagus grandifolia Ehrh.,species
658b0419-ae53-4f10-9001-3cad4136836a,vst_BART_2015,23,5,79.5,NEON.PLA.D01.BART.00304,FAGR,Fagus grandifolia Ehrh.,species
154a01a4-290c-4e99-9f2b-b9bf32597b5b,vst_BART_2015,23,5.9,51.2,NEON.PLA.D01.BART.00305,BEPA,Betula papyrifera Marshall,species
afa443d7-8372-4ce4-a2bf-e9bf98e525f3,vst_BART_2015,25,15.2,300.4,NEON.PLA.D01.BART.00306,BEAL2,Betula alleghaniensis Britton,species
