uid,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,easting,northing,utmZone,elevation,elevationUncertainty,eventID
93ee1436-cdd8-40bd-96c4-0585f36b904f,BART_002,distributed,deciduousForest,44.035081,-71.27285,WGS84,317881.99,4878280.73,19N,550.8,0.4,vst_BART_2016
4b5f972f-d00f-4766-b7d7-ae488e058416,BART_003,distributed,deciduousForest,44.055252,-71.263154,WGS84,318720.48,4880499.77,19N,439.5,0.3,vst_BART_2016
66594b70-4db4-4005-bfc8-e42a1bdba15d,BART_006,distributed,deciduousForest,44.060511,-71.310914,WGS84,314911.21,4881190.14,19N,432.7,0.2,vst_BART_2016
730098e8-30a7-4b7a-a5ee-fde5318cc416,BART_007,distributed,mixedForest,44.049696,-71.298487,WGS84,315873.02,4879961.03,19N,388.4,0.2,vst_BART_2016
07c96abe-6d78-4818-8b2e-f33fac4d06b5,BART_010,distributed,deciduousForest,44.050073,-71.26668,WGS84,318422.21,4879932.29,19N,430.2,0.2,vst_BART_2016
557410ec-351d-4348-97e5-6dc0625c4f03,BART_011,distributed,mixedForest,44.050006,-71.296275,WGS84,316051.18,4879990.52,19N,370.1,0.2,vst_BART_2016
afc50622-9684-4d6e-b96d-ebad6067e574,BART_012,distributed,deciduousForest,44.046089,-71.316317,WGS84,314433.4,4879600.41,19N,558.9,0.4,vst_BART_2016
6d597101-9c98-4ba3-bb18-9431dfe590b0,BART_013,distributed,deciduousForest,44.041738,-71.277599,WGS84,317521.9,4879030.64,19N,414.8,0.2,vst_BART_2016
591a2808-5add-4072-bb13-b57bf33c3460,BART_015,distributed,mixedForest,44.042903,-71.273126,WGS84,317883.85,4879150.14,19N,439.2,0.2,vst_BART_2016
12dbf09b-5f23-4ab7-8736-d0cf4491c1c7,BART_016,distributed,mixedForest,44.051257,-71.288457,WGS84,316681.33,4880112.04,19N,316.8,0.3,vst_BART_2016
64640bd2-9433-4e7f-9562-5fc99b306551,BART_023,distributed,evergreenForest,44.049319,-71.263643,WGS84,318663.2,4879841.85,19N,503,0.5,vst_BART_2016
c64523e3-548b-4fe3-93c6-d5ee23f9c10a,BART_032,tower,deciduousForest,44.067479,-71.287582,WGS84,316801.48,4881911.91,19N,245.4,0.3,vst_BART_2017
16461f34-02e0-4166-8f58-15295c1e2393,BART_033,tower,deciduousForest,44.063204,-71.283666,WGS84,317101.93,4881428.37,19N,273.5,0.2,vst_BART_2015
ecdf17c1-d9f5-46c2-84b2-eeff103417cf,BART_034,tower,mixedForest,44.064283,-71.285609,WGS84,316949.64,4881552.53,19N,267.5,0.3,vst_BART_2015
1608ce88-1013-42aa-af45-fc81c0f8f335,BART_036,tower,deciduousForest,44.06208,-71.285876,WGS84,316921.46,4881308.43,19N,293.2,0.3,vst_BART_2015
5ac133b6-1089-4f32-9c26-27c3fd6b2597,BART_037,tower,deciduousForest,44.061597,-71.283251,WGS84,317130.21,4881248.95,19N,292.5,0.2,vst_BART_2016
adee918d-614e-4fe5-8e55-2888e0b44d13,BART_039,tower,deciduousForest,44.063683,-71.288953,WGS84,316679.96,4881493.33,19N,274.1,0.2,vst_BART_2015
82d7a1a9-f62c-4d1e-8001-9af311e4cf86,BART_040,tower,deciduousForest,44.065761,-71.291993,WGS84,316442.91,4881730.91,19N,260.5,0.3,vst_BART_2018
0c0a772b-d3ee-46ba-9d3d-edfbff52da63,BART_041,tower,deciduousForest,44.06534,-71.285606,WGS84,316953.13,4881669.93,19N,260.7,0.4,vst_BART_2016
5edda15a-f3fc-4594-ad03-8aebc880edcf,BART_042,tower,deciduousForest,44.060186,-71.288047,WGS84,316741.73,4881102.89,19N,288.8,0.2,vst_BART_2015
c4207c9a-028a-4a26-a4ee-5d1a70df1e66,BART_044,tower,deciduousForest,44.061037,-71.284327,WGS84,317042.31,4881189.14,19N,302.9,0.3,vst_BART_2016
bb8da651-8f65-4388-acae-5f02a871bd94,BART_046,tower,deciduousForest,44.059946,-71.28541,WGS84,316952.2,4881070.37,19N,304.7,0.3,vst_BART_2018
41912482-10ae-47cb-8842-3084578ff883,BART_047,tower,deciduousForest,44.064958,-71.290866,WGS84,316530.69,4881639.21,19N,266.9,0.3,vst_BART_2017
f58af446-587a-4edd-9284-bcc3e99c95d5,BART_050,tower,mixedForest,44.061507,-71.2877,WGS84,316773.6,4881248.85,19N,287.8,0.2,vst_BART_2015
8ed0152a-4504-4217-ae90-a0da706ead13,BART_051,tower,deciduousForest,44.062849,-71.287737,WGS84,316774.78,4881397.99,19N,280,0.4,vst_BART_2016
5fc3e251-3463-4fd1-9272-60b62bcb6c77,BART_070,tower,mixedForest,44.064339,-71.281445,WGS84,317283.3,4881549.5,19N,249.8,0.2,vst_BART_2017
092bccf6-a916-4b83-8d8c-dc68f9c1ce1a,BART_071,tower,mixedForest,44.067946,-71.29062,WGS84,316559.62,4881970.54,19N,256.5,0.2,vst_BART_2015
921b4fb9-bbf8-473c-bea8-ae81763a73dd,BART_072,tower,deciduousForest,44.060736,-71.286195,WGS84,316891.76,4881159.86,19N,296.6,0.3,vst_BART_2015
f8718ed4-1a1d-4623-9c4c-2011f0ae7cc9,BART_073,tower,mixedForest,44.06477,-71.28861,WGS84,316710.79,4881613.3,19N,280.7,0.3,vst_BART_2015
